,segment,length,ave_width,spine_count,spine_density,stage,group,culture,batch,segment_ID
51,w6c3-seg2,47.24,0.81,42,0.88908,before,200nano,33,batch3009,batch3009-w6c3-seg2
52,w6c3-seg1,45.75,0.86,41,0.89609,after,200nano,33,batch3009,batch3009-w6c3-seg1
53,w6c3-seg2,48.13,0.81,50,1.03882,after,200nano,33,batch3009,batch3009-w6c3-seg2
0,w1c2-seg1,35.521,0.738,56,1.57654236,before,200nano,38,batch1031,batch1031-w1c2-seg1
1,w1c2-seg1,35.861,1.161,52,1.45005962,after,200nano,38,batch1031,batch1031-w1c2-seg1
2,w3c1-seg1,51.593,0.306,78,1.51184515,before,sham,35,batch1031,batch1031-w3c1-seg1
3,w3c1-seg1,45.082,0.509,72,1.59708693,after,sham,35,batch1031,batch1031-w3c1-seg1
4,w4c3-seg1,60.694,0.517,89,1.46637995,before,50micro,36,batch1031,batch1031-w4c3-seg1
5,w4c3-seg1,60.166,0.471,84,1.39614034,after,50micro,36,batch1031,batch1031-w4c3-seg1
6,w5c3-seg1,54.956,0.901,41,0.74605148,before,50micro,37,batch1031,batch1031-w5c3-seg1
7,w5c3-seg2,28.784,0.963,32,1.11172404,before,50micro,37,batch1031,batch1031-w5c3-seg2
8,w5c3-seg1,57.746,0.933,35,0.60610052,after,50micro,37,batch1031,batch1031-w5c3-seg1
9,w5c3-seg2,28.804,0.989,26,0.90266154,after,50micro,37,batch1031,batch1031-w5c3-seg2
10,w5c3-seg3,32.511,0.833,34,1.04579075,before,50micro,37,batch1031,batch1031-w5c3-seg3
11,w5c3-seg4,19.496,0.899,20,1.02583555,before,50micro,37,batch1031,batch1031-w5c3-seg4
12,w5c3-seg5,14.534,0.925,21,1.44487156,before,50micro,37,batch1031,batch1031-w5c3-seg5
13,w5c3-seg3,34.852,0.904,38,1.0903113,after,50micro,37,batch1031,batch1031-w5c3-seg3
14,w5c3-seg4,20.264,0.888,18,0.88826722,after,50micro,37,batch1031,batch1031-w5c3-seg4
15,w5c3-seg5,14.501,0.928,19,1.31028178,after,50micro,37,batch1031,batch1031-w5c3-seg5
