, ,Label,Area,IntDen,RawIntDen,batch,stage,group,culture
28,29,MAX_w4c3-63xz.tif,1.844,173.74099999999999,17714.0,batch1031,d0,50micron,w4c3-seg1
29,30,MAX_w4c3-63xz.tif,0.539,39.262,4003.0,batch1031,d0,50micron,w4c3-seg1
30,31,MAX_w4c3-63xz.tif,0.706,75.866,7735.0,batch1031,d0,50micron,w4c3-seg1
31,32,MAX_w4c3-63xz.tif,0.922,73.512,7495.0,batch1031,d0,50micron,w4c3-seg1
32,33,MAX_w4c3-63xz.tif,0.569,44.078,4494.0,batch1031,d0,50micron,w4c3-seg1
33,34,MAX_w4c3-63xz.tif,0.667,47.089,4801.0,batch1031,d0,50micron,w4c3-seg1
34,35,MAX_w4c3-63xz.tif,1.54,183.166,18675.0,batch1031,d0,50micron,w4c3-seg1
35,36,MAX_w4c3-63xz.tif,1.618,102.318,10432.0,batch1031,d0,50micron,w4c3-seg1
36,37,MAX_w4c3-63xz.tif,0.863,53.748000000000005,5480.0,batch1031,d0,50micron,w4c3-seg1
37,38,MAX_w4c3-63xz.tif,1.324,60.604,6179.0,batch1031,d0,50micron,w4c3-seg1
38,39,MAX_w4c3-63xz.tif,1.226,94.04,9588.0,batch1031,d0,50micron,w4c3-seg1
39,40,MAX_w4c3-63xz.tif,1.618,135.42,13807.0,batch1031,d0,50micron,w4c3-seg1
40,41,MAX_w4c3-63xz.tif,1.4809999999999999,80.96600000000001,8255.0,batch1031,d0,50micron,w4c3-seg1
41,42,MAX_w4c3-63xz.tif,1.501,107.68299999999999,10979.0,batch1031,d0,50micron,w4c3-seg1
42,43,MAX_w4c3-63xz.tif,1.089,97.944,9986.0,batch1031,d0,50micron,w4c3-seg1
43,44,MAX_w4c3-63xz.tif,1.246,143.512,14632.0,batch1031,d0,50micron,w4c3-seg1
44,45,MAX_w4c3-63xz.tif,2.011,92.598,9441.0,batch1031,d0,50micron,w4c3-seg1
45,46,MAX_w4c3-63xz.tif,1.501,197.623,20149.0,batch1031,d0,50micron,w4c3-seg1
46,47,MAX_w4c3-63xz.tif,1.157,179.59599999999998,18311.0,batch1031,d0,50micron,w4c3-seg1
0,1,MAX_w5c3-63xz-1.tif,1.795,128.653,13117.0,batch1031,d0,50micron,w5c3-seg1
1,2,MAX_w5c3-63xz-1.tif,1.452,126.927,12941.0,batch1031,d0,50micron,w5c3-seg1
2,3,MAX_w5c3-63xz-1.tif,2.04,82.182,8379.0,batch1031,d0,50micron,w5c3-seg1
3,4,MAX_w5c3-63xz-1.tif,1.334,99.09100000000001,10103.0,batch1031,d0,50micron,w5c3-seg1
4,5,MAX_w5c3-63xz-1.tif,1.246,65.979,6727.0,batch1031,d0,50micron,w5c3-seg1
5,6,MAX_w5c3-63xz-1.tif,1.0490000000000002,109.96799999999999,11212.0,batch1031,d0,50micron,w5c3-seg1
6,7,MAX_w5c3-63xz-1.tif,1.197,96.365,9825.0,batch1031,d0,50micron,w5c3-seg1
7,8,MAX_w5c3-63xz-1.tif,1.01,59.231,6039.0,batch1031,d0,50micron,w5c3-seg1
8,9,MAX_w5c3-63xz-1.tif,1.324,122.73899999999999,12514.0,batch1031,d0,50micron,w5c3-seg1
9,10,MAX_w5c3-63xz-1.tif,1.824,181.577,18513.0,batch1031,d0,50micron,w5c3-seg1
10,11,MAX_w5c3-63xz-1.tif,1.02,73.688,7513.0,batch1031,d0,50micron,w5c3-seg1
11,12,MAX_w5c3-63xz-1.tif,0.42200000000000004,50.766999999999996,5176.0,batch1031,d0,50micron,w5c3-seg1
12,13,MAX_w5c3-63xz-1.tif,0.991,70.589,7197.0,batch1031,d0,50micron,w5c3-seg1
13,14,MAX_w5c3-63xz-1.tif,1.167,117.413,11971.0,batch1031,d0,50micron,w5c3-seg1
14,15,MAX_w5c3-63xz-1.tif,0.863,58.515,5966.0,batch1031,d0,50micron,w5c3-seg1
15,16,MAX_w5c3-63xz-1.tif,0.696,87.459,8917.0,batch1031,d0,50micron,w5c3-seg1
16,17,MAX_w5c3-63xz-1.tif,1.255,136.32299999999998,13899.0,batch1031,d0,50micron,w5c3-seg1
17,18,MAX_w5c3-63xz-1.tif,1.334,148.583,15149.0,batch1031,d0,50micron,w5c3-seg1
18,19,MAX_w5c3-63xz-1.tif,0.991,86.311,8800.0,batch1031,d0,50micron,w5c3-seg1
19,20,MAX_w5c3-63xz-1.tif,0.922,68.274,6961.0,batch1031,d0,50micron,w5c3-seg1
20,21,MAX_w5c3-63xz-1.tif,1.255,86.194,8788.0,batch1031,d0,50micron,w5c3-seg1
21,22,MAX_w5c3-63xz-1.tif,1.295,88.479,9021.0,batch1031,d0,50micron,w5c3-seg1
0,1,MAX_w5c3-63xz-1.tif,1.01,83.045,8467.0,batch1031,d0,50micron,w5c3-seg2
1,2,MAX_w5c3-63xz-1.tif,0.716,51.943999999999996,5296.0,batch1031,d0,50micron,w5c3-seg2
2,3,MAX_w5c3-63xz-1.tif,0.667,51.1,5210.0,batch1031,d0,50micron,w5c3-seg2
3,4,MAX_w5c3-63xz-1.tif,1.285,131.36,13393.0,batch1031,d0,50micron,w5c3-seg2
4,5,MAX_w5c3-63xz-1.tif,0.618,36.594,3731.0,batch1031,d0,50micron,w5c3-seg2
5,6,MAX_w5c3-63xz-1.tif,1.148,76.47399999999999,7797.0,batch1031,d0,50micron,w5c3-seg2
6,7,MAX_w5c3-63xz-1.tif,0.785,46.716,4763.0,batch1031,d0,50micron,w5c3-seg2
7,8,MAX_w5c3-63xz-1.tif,0.647,38.791,3955.0,batch1031,d0,50micron,w5c3-seg2
8,9,MAX_w5c3-63xz-1.tif,0.706,36.172,3688.0,batch1031,d0,50micron,w5c3-seg2
9,10,MAX_w5c3-63xz-1.tif,1.0490000000000002,39.301,4007.0,batch1031,d0,50micron,w5c3-seg2
10,11,MAX_w5c3-63xz-1.tif,0.794,45.716,4661.0,batch1031,d0,50micron,w5c3-seg2
11,12,MAX_w5c3-63xz-1.tif,2.226,199.065,20296.0,batch1031,d0,50micron,w5c3-seg2
12,13,MAX_w5c3-63xz-1.tif,0.706,37.339,3807.0,batch1031,d0,50micron,w5c3-seg2
