, ,Label,Area,IntDen,RawIntDen,batch,stage,group,culture
9,10,MAX_w6-c3-63xz.tif,0.52,15.693,1600.0,batch3008,d0,200nano,w6c3-seg2
10,11,MAX_w6-c3-63xz.tif,0.775,33.583,3424.0,batch3008,d0,200nano,w6c3-seg2
11,12,MAX_w6-c3-63xz.tif,0.638,27.208000000000002,2774.0,batch3008,d0,200nano,w6c3-seg2
12,13,MAX_w6-c3-63xz.tif,0.638,29.355999999999998,2993.0,batch3008,d0,200nano,w6c3-seg2
13,14,MAX_w6-c3-63xz.tif,0.8340000000000001,50.826,5182.0,batch3008,d0,200nano,w6c3-seg2
14,15,MAX_w6-c3-63xz.tif,0.53,23.412,2387.0,batch3008,d0,200nano,w6c3-seg2
15,16,MAX_w6-c3-63xz.tif,0.677,29.964000000000002,3055.0,batch3008,d0,200nano,w6c3-seg2
16,17,MAX_w6-c3-63xz.tif,0.569,33.034,3368.0,batch3008,d0,200nano,w6c3-seg2
17,18,MAX_w6-c3-63xz.tif,0.804,30.041999999999998,3063.0,batch3008,d0,200nano,w6c3-seg2
18,19,MAX_w6-c3-63xz.tif,0.8340000000000001,37.31,3804.0,batch3008,d0,200nano,w6c3-seg2
19,20,MAX_w6-c3-63xz.tif,1.128,50.06100000000001,5104.0,batch3008,d0,200nano,w6c3-seg2
20,21,MAX_w6-c3-63xz.tif,1.756,68.78399999999999,7013.0,batch3008,d0,200nano,w6c3-seg2
21,22,MAX_w6-c3-63xz.tif,0.785,37.898,3864.0,batch3008,d0,200nano,w6c3-seg2
22,23,MAX_w6-c3-63xz.tif,0.42200000000000004,18.39,1875.0,batch3008,d0,200nano,w6c3-seg2
23,24,MAX_w6-c3-63xz.tif,1.197,39.821,4060.0,batch3008,d0,200nano,w6c3-seg2
24,25,MAX_w6-c3-63xz.tif,0.893,25.825,2633.0,batch3008,d0,200nano,w6c3-seg2
0,1,MAX_w6-c3-63xz.tif,0.775,29.934,3052.0,batch3008,d0,200nano,w6c3-seg3
1,2,MAX_w6-c3-63xz.tif,0.961,36.408,3712.0,batch3008,d0,200nano,w6c3-seg3
2,3,MAX_w6-c3-63xz.tif,0.353,19.469,1985.0,batch3008,d0,200nano,w6c3-seg3
3,4,MAX_w6-c3-63xz.tif,1.275,31.249000000000002,3186.0,batch3008,d0,200nano,w6c3-seg3
4,5,MAX_w6-c3-63xz.tif,1.609,68.578,6992.0,batch3008,d0,200nano,w6c3-seg3
5,6,MAX_w6-c3-63xz.tif,0.8340000000000001,53.729,5478.0,batch3008,d0,200nano,w6c3-seg3
6,7,MAX_w6-c3-63xz.tif,0.745,27.953000000000003,2850.0,batch3008,d0,200nano,w6c3-seg3
7,8,MAX_w6-c3-63xz.tif,0.667,28.561,2912.0,batch3008,d0,200nano,w6c3-seg3
8,9,MAX_w6-c3-63xz.tif,0.638,29.316,2989.0,batch3008,d0,200nano,w6c3-seg3
9,10,MAX_w6-c3-63xz.tif,0.5,21.009,2142.0,batch3008,d0,200nano,w6c3-seg3
10,11,MAX_w6-c3-63xz.tif,0.716,34.985,3567.0,batch3008,d0,200nano,w6c3-seg3
11,12,MAX_w6-c3-63xz.tif,0.696,36.594,3731.0,batch3008,d0,200nano,w6c3-seg3
12,13,MAX_w6-c3-63xz.tif,0.579,35.986,3669.0,batch3008,d0,200nano,w6c3-seg3
13,14,MAX_w6-c3-63xz.tif,0.618,20.734,2114.0,batch3008,d0,200nano,w6c3-seg3
14,15,MAX_w6-c3-63xz.tif,0.8140000000000001,48.88399999999999,4984.0,batch3008,d0,200nano,w6c3-seg3
15,16,MAX_w6-c3-63xz.tif,0.33299999999999996,11.632,1186.0,batch3008,d0,200nano,w6c3-seg3
16,17,MAX_w6-c3-63xz.tif,0.8240000000000001,46.52,4743.0,batch3008,d0,200nano,w6c3-seg3
17,18,MAX_w6-c3-63xz.tif,0.628,20.813000000000002,2122.0,batch3008,d0,200nano,w6c3-seg3
18,19,MAX_w6-c3-63xz.tif,0.47100000000000003,21.813000000000002,2224.0,batch3008,d0,200nano,w6c3-seg3
19,20,MAX_w6-c3-63xz.tif,1.0,20.999000000000002,2141.0,batch3008,d0,200nano,w6c3-seg3
20,21,MAX_w6-c3-63xz.tif,0.43200000000000005,20.754,2116.0,batch3008,d0,200nano,w6c3-seg3
21,22,MAX_w6-c3-63xz.tif,1.177,31.366,3198.0,batch3008,d0,200nano,w6c3-seg3
22,23,MAX_w6-c3-63xz.tif,0.373,11.789000000000001,1202.0,batch3008,d0,200nano,w6c3-seg3
23,24,MAX_w6-c3-63xz.tif,0.9420000000000001,32.406,3304.0,batch3008,d0,200nano,w6c3-seg3
24,25,MAX_w6-c3-63xz.tif,0.902,45.361999999999995,4625.0,batch3008,d0,200nano,w6c3-seg3
0,1,MAX_w6-c4-63xz.tif:1,3.9330000000000003,145.64,14849.0,batch3008,d0,200nano,w6c4-seg1
1,2,MAX_w6-c4-63xz.tif:2,2.678,97.65899999999999,9957.0,batch3008,d0,200nano,w6c4-seg1
2,3,MAX_w6-c4-63xz.tif:3,3.678,158.82299999999998,16193.0,batch3008,d0,200nano,w6c4-seg1
3,4,MAX_w6-c4-63xz.tif:4,1.1179999999999999,51.443000000000005,5245.0,batch3008,d0,200nano,w6c4-seg1
4,5,MAX_w6-c4-63xz.tif:5,1.844,95.93299999999999,9781.0,batch3008,d0,200nano,w6c4-seg1
5,6,MAX_w6-c4-63xz.tif:6,2.05,195.22,19904.0,batch3008,d0,200nano,w6c4-seg1
6,7,MAX_w6-c4-63xz.tif:7,1.3730000000000002,64.204,6546.0,batch3008,d0,200nano,w6c4-seg1
7,8,MAX_w6-c4-63xz.tif:8,1.913,87.361,8907.0,batch3008,d0,200nano,w6c4-seg1
8,9,MAX_w6-c4-63xz.tif:9,1.4609999999999999,48.58,4953.0,batch3008,d0,200nano,w6c4-seg1
9,10,MAX_w6-c4-63xz.tif:10,1.8730000000000002,84.036,8568.0,batch3008,d0,200nano,w6c4-seg1
10,11,MAX_w6-c4-63xz.tif:11,1.314,48.158,4910.0,batch3008,d0,200nano,w6c4-seg1
11,12,MAX_w6-c4-63xz.tif:12,1.6380000000000001,98.414,10034.0,batch3008,d0,200nano,w6c4-seg1
12,13,MAX_w6-c4-63xz.tif,1.157,70.138,7151.0,batch3008,d0,200nano,w6c4-seg1
13,14,MAX_w6-c4-63xz.tif,1.255,78.26899999999999,7980.0,batch3008,d0,200nano,w6c4-seg1
14,15,MAX_w6-c4-63xz.tif,0.912,57.897,5903.0,batch3008,d0,200nano,w6c4-seg1
15,16,MAX_w6-c4-63xz.tif,2.158,148.975,15189.0,batch3008,d0,200nano,w6c4-seg1
16,17,MAX_w6-c4-63xz.tif,1.765,138.078,14078.0,batch3008,d0,200nano,w6c4-seg1
17,18,MAX_w6-c4-63xz.tif,1.913,108.124,11024.0,batch3008,d0,200nano,w6c4-seg1
18,19,MAX_w6-c4-63xz.tif,0.9420000000000001,64.557,6582.0,batch3008,d0,200nano,w6c4-seg1
19,20,MAX_w6-c4-63xz.tif,1.422,83.29,8492.0,batch3008,d0,200nano,w6c4-seg1
20,21,MAX_w6-c4-63xz.tif,1.6480000000000001,87.116,8882.0,batch3008,d0,200nano,w6c4-seg1
21,22,MAX_w6-c4-63xz.tif,2.805,134.498,13713.0,batch3008,d0,200nano,w6c4-seg1
22,23,MAX_w6-c4-63xz.tif,2.177,106.61399999999999,10870.0,batch3008,d0,200nano,w6c4-seg1
23,24,MAX_w6-c4-63xz.tif,1.922,81.407,8300.0,batch3008,d0,200nano,w6c4-seg1
24,25,MAX_w6-c4-63xz.tif,0.647,36.074,3678.0,batch3008,d0,200nano,w6c4-seg1
25,26,MAX_w6-c4-63xz.tif,0.696,87.76299999999999,8948.0,batch3008,d0,200nano,w6c4-seg1
26,27,MAX_w6-c4-63xz.tif,1.128,91.87200000000001,9367.0,batch3008,d0,200nano,w6c4-seg1
27,28,MAX_w6-c4-63xz.tif,2.805,151.486,15445.0,batch3008,d0,200nano,w6c4-seg1
28,29,MAX_w6-c4-63xz.tif,2.315,103.583,10561.0,batch3008,d0,200nano,w6c4-seg1
29,30,MAX_w6-c4-63xz.tif,1.6869999999999998,63.163999999999994,6440.0,batch3008,d0,200nano,w6c4-seg1
0,1,MAX_w2-c1-63xz.tif,1.4609999999999999,208.648,21273.0,batch3008,d0,50micron,w2c1-seg1
1,2,MAX_w2-c1-63xz.tif,1.187,127.476,12997.0,batch3008,d0,50micron,w2c1-seg1
2,3,MAX_w2-c1-63xz.tif,0.8240000000000001,66.872,6818.0,batch3008,d0,50micron,w2c1-seg1
3,4,MAX_w2-c1-63xz.tif,0.991,122.493,12489.0,batch3008,d0,50micron,w2c1-seg1
4,5,MAX_w2-c1-63xz.tif,1.324,142.659,14545.0,batch3008,d0,50micron,w2c1-seg1
5,6,MAX_w2-c1-63xz.tif,0.255,37.271,3800.0,batch3008,d0,50micron,w2c1-seg1
6,7,MAX_w2-c1-63xz.tif,0.461,58.005,5914.0,batch3008,d0,50micron,w2c1-seg1
7,8,MAX_w2-c1-63xz.tif,0.373,46.951,4787.0,batch3008,d0,50micron,w2c1-seg1
8,9,MAX_w2-c1-63xz.tif,0.5,57.623000000000005,5875.0,batch3008,d0,50micron,w2c1-seg1
9,10,MAX_w2-c1-63xz.tif,0.314,23.255,2371.0,batch3008,d0,50micron,w2c1-seg1
10,11,MAX_w2-c1-63xz.tif,1.03,81.005,8259.0,batch3008,d0,50micron,w2c1-seg1
11,12,MAX_w2-c1-63xz.tif,0.48100000000000004,78.73899999999999,8028.0,batch3008,d0,50micron,w2c1-seg1
12,13,MAX_w2-c1-63xz.tif,0.373,42.979,4382.0,batch3008,d0,50micron,w2c1-seg1
13,14,MAX_w2-c1-63xz.tif,0.38299999999999995,34.397,3507.0,batch3008,d0,50micron,w2c1-seg1
14,15,MAX_w2-c1-63xz.tif,0.8240000000000001,141.001,14376.0,batch3008,d0,50micron,w2c1-seg1
15,16,MAX_w2-c1-63xz.tif,0.51,50.276,5126.0,batch3008,d0,50micron,w2c1-seg1
16,17,MAX_w2-c1-63xz.tif,0.667,51.581,5259.0,batch3008,d0,50micron,w2c1-seg1
17,18,MAX_w2-c1-63xz.tif,0.34299999999999997,33.073,3372.0,batch3008,d0,50micron,w2c1-seg1
18,19,MAX_w2-c1-63xz.tif,0.696,80.436,8201.0,batch3008,d0,50micron,w2c1-seg1
19,20,MAX_w2-c1-63xz.tif,0.42200000000000004,52.326,5335.0,batch3008,d0,50micron,w2c1-seg1
20,21,MAX_w2-c1-63xz.tif,0.314,26.433000000000003,2695.0,batch3008,d0,50micron,w2c1-seg1
21,22,MAX_w2-c1-63xz.tif,0.8340000000000001,99.699,10165.0,batch3008,d0,50micron,w2c1-seg1
22,23,MAX_w2-c1-63xz.tif,0.775,105.839,10791.0,batch3008,d0,50micron,w2c1-seg1
23,24,MAX_w2-c1-63xz.tif,0.608,63.243,6448.0,batch3008,d0,50micron,w2c1-seg1
24,25,MAX_w2-c1-63xz.tif,0.677,78.2,7973.0,batch3008,d0,50micron,w2c1-seg1
25,26,MAX_w2-c1-63xz.tif,1.314,191.405,19515.0,batch3008,d0,50micron,w2c1-seg1
26,27,MAX_w2-c1-63xz.tif,0.883,139.765,14250.0,batch3008,d0,50micron,w2c1-seg1
27,28,MAX_w2-c1-63xz.tif,0.363,43.586999999999996,4444.0,batch3008,d0,50micron,w2c1-seg1
28,29,MAX_w2-c1-63xz.tif,0.294,26.776,2730.0,batch3008,d0,50micron,w2c1-seg1
0,1,MAX_w2-c1-63xz.tif,0.147,14.398,1468.0,batch3008,d0,50micron,w2c1-seg2
1,2,MAX_w2-c1-63xz.tif,0.314,35.751,3645.0,batch3008,d0,50micron,w2c1-seg2
2,3,MAX_w2-c1-63xz.tif,0.736,71.03,7242.0,batch3008,d0,50micron,w2c1-seg2
3,4,MAX_w2-c1-63xz.tif,0.539,45.657,4655.0,batch3008,d0,50micron,w2c1-seg2
4,5,MAX_w2-c1-63xz.tif,0.43200000000000005,42.803000000000004,4364.0,batch3008,d0,50micron,w2c1-seg2
5,6,MAX_w2-c1-63xz.tif,0.638,36.064,3677.0,batch3008,d0,50micron,w2c1-seg2
6,7,MAX_w2-c1-63xz.tif,0.353,21.843000000000004,2227.0,batch3008,d0,50micron,w2c1-seg2
7,8,MAX_w2-c1-63xz.tif,0.324,35.084,3577.0,batch3008,d0,50micron,w2c1-seg2
8,9,MAX_w2-c1-63xz.tif,0.745,56.946000000000005,5806.0,batch3008,d0,50micron,w2c1-seg2
9,10,MAX_w2-c1-63xz.tif,0.598,39.193000000000005,3996.0,batch3008,d0,50micron,w2c1-seg2
10,11,MAX_w2-c1-63xz.tif,0.43200000000000005,32.965,3361.0,batch3008,d0,50micron,w2c1-seg2
11,12,MAX_w2-c1-63xz.tif,0.51,29.12,2969.0,batch3008,d0,50micron,w2c1-seg2
12,13,MAX_w2-c1-63xz.tif,0.991,50.973,5197.0,batch3008,d0,50micron,w2c1-seg2
13,14,MAX_w2-c1-63xz.tif,1.197,54.533,5560.0,batch3008,d0,50micron,w2c1-seg2
14,15,MAX_w2-c1-63xz.tif,0.991,78.72,8026.0,batch3008,d0,50micron,w2c1-seg2
0,1,MAX_w2-c1-63xz.tif,1.344,116.167,11844.0,batch3008,d0,50micron,w2c1-seg3
1,2,MAX_w2-c1-63xz.tif,0.804,69.294,7065.0,batch3008,d0,50micron,w2c1-seg3
2,3,MAX_w2-c1-63xz.tif,0.991,84.055,8570.0,batch3008,d0,50micron,w2c1-seg3
3,4,MAX_w2-c1-63xz.tif,0.794,65.803,6709.0,batch3008,d0,50micron,w2c1-seg3
4,5,MAX_w2-c1-63xz.tif,0.48100000000000004,45.273999999999994,4616.0,batch3008,d0,50micron,w2c1-seg3
5,6,MAX_w2-c1-63xz.tif,0.951,110.792,11296.0,batch3008,d0,50micron,w2c1-seg3
6,7,MAX_w2-c1-63xz.tif,1.0,92.68700000000001,9450.0,batch3008,d0,50micron,w2c1-seg3
7,8,MAX_w2-c1-63xz.tif,0.893,57.691,5882.0,batch3008,d0,50micron,w2c1-seg3
8,9,MAX_w2-c1-63xz.tif,1.01,73.62899999999999,7507.0,batch3008,d0,50micron,w2c1-seg3
9,10,MAX_w2-c1-63xz.tif,1.187,79.181,8073.0,batch3008,d0,50micron,w2c1-seg3
10,11,MAX_w2-c1-63xz.tif,0.47100000000000003,58.083999999999996,5922.0,batch3008,d0,50micron,w2c1-seg3
11,12,MAX_w2-c1-63xz.tif,1.099,106.241,10832.0,batch3008,d0,50micron,w2c1-seg3
12,13,MAX_w2-c1-63xz.tif,0.8340000000000001,32.661,3330.0,batch3008,d0,50micron,w2c1-seg3
13,14,MAX_w2-c1-63xz.tif,0.971,89.01799999999999,9076.0,batch3008,d0,50micron,w2c1-seg3
0,1,MAX_w2-c1-63xz.tif,1.1079999999999999,137.725,14042.0,batch3008,d0,50micron,w2c1-seg4
1,2,MAX_w2-c1-63xz.tif,0.284,29.993000000000002,3058.0,batch3008,d0,50micron,w2c1-seg4
2,3,MAX_w2-c1-63xz.tif,0.34299999999999997,41.047,4185.0,batch3008,d0,50micron,w2c1-seg4
3,4,MAX_w2-c1-63xz.tif,0.53,40.233000000000004,4102.0,batch3008,d0,50micron,w2c1-seg4
4,5,MAX_w2-c1-63xz.tif,0.402,66.813,6812.0,batch3008,d0,50micron,w2c1-seg4
5,6,MAX_w2-c1-63xz.tif,0.226,33.397,3405.0,batch3008,d0,50micron,w2c1-seg4
6,7,MAX_w2-c1-63xz.tif,0.657,74.19800000000001,7565.0,batch3008,d0,50micron,w2c1-seg4
7,8,MAX_w2-c1-63xz.tif,0.618,52.071000000000005,5309.0,batch3008,d0,50micron,w2c1-seg4
0,1,MAX_w2-c2-63xz.tif,0.696,54.847,5592.0,batch3008,d0,50micron,w2c2-seg1
1,2,MAX_w2-c2-63xz.tif,0.951,88.02799999999999,8975.0,batch3008,d0,50micron,w2c2-seg1
2,3,MAX_w2-c2-63xz.tif,0.785,79.15100000000001,8070.0,batch3008,d0,50micron,w2c2-seg1
3,4,MAX_w2-c2-63xz.tif,0.51,78.602,8014.0,batch3008,d0,50micron,w2c2-seg1
4,5,MAX_w2-c2-63xz.tif,0.706,65.773,6706.0,batch3008,d0,50micron,w2c2-seg1
5,6,MAX_w2-c2-63xz.tif,0.441,66.813,6812.0,batch3008,d0,50micron,w2c2-seg1
6,7,MAX_w2-c2-63xz.tif,0.775,78.847,8039.0,batch3008,d0,50micron,w2c2-seg1
7,8,MAX_w2-c2-63xz.tif,0.745,72.423,7384.0,batch3008,d0,50micron,w2c2-seg1
8,9,MAX_w2-c2-63xz.tif,0.43200000000000005,81.23100000000001,8282.0,batch3008,d0,50micron,w2c2-seg1
9,10,MAX_w2-c2-63xz.tif,0.647,58.397,5954.0,batch3008,d0,50micron,w2c2-seg1
10,11,MAX_w2-c2-63xz.tif,0.51,96.76700000000001,9866.0,batch3008,d0,50micron,w2c2-seg1
11,12,MAX_w2-c2-63xz.tif,0.588,80.711,8229.0,batch3008,d0,50micron,w2c2-seg1
12,13,MAX_w2-c2-63xz.tif,0.775,91.39200000000001,9318.0,batch3008,d0,50micron,w2c2-seg1
13,14,MAX_w2-c2-63xz.tif,0.667,65.999,6729.0,batch3008,d0,50micron,w2c2-seg1
14,15,MAX_w2-c2-63xz.tif,0.42200000000000004,80.60300000000001,8218.0,batch3008,d0,50micron,w2c2-seg1
15,16,MAX_w2-c2-63xz.tif,1.079,170.465,17380.0,batch3008,d0,50micron,w2c2-seg1
16,17,MAX_w2-c2-63xz.tif,1.0,191.954,19571.0,batch3008,d0,50micron,w2c2-seg1
17,18,MAX_w2-c2-63xz.tif,0.902,150.123,15306.0,batch3008,d0,50micron,w2c2-seg1
18,19,MAX_w2-c2-63xz.tif,0.245,30.925,3153.0,batch3008,d0,50micron,w2c2-seg1
19,20,MAX_w2-c2-63xz.tif,0.20600000000000002,38.055,3880.0,batch3008,d0,50micron,w2c2-seg1
20,21,MAX_w2-c2-63xz.tif,1.285,175.02599999999998,17845.0,batch3008,d0,50micron,w2c2-seg1
21,22,MAX_w2-c2-63xz.tif,0.402,57.848,5898.0,batch3008,d0,50micron,w2c2-seg1
22,23,MAX_w2-c2-63xz.tif,0.38299999999999995,63.674,6492.0,batch3008,d0,50micron,w2c2-seg1
23,24,MAX_w2-c2-63xz.tif,0.275,40.37,4116.0,batch3008,d0,50micron,w2c2-seg1
24,25,MAX_w2-c2-63xz.tif,0.275,36.908,3763.0,batch3008,d0,50micron,w2c2-seg1
25,26,MAX_w2-c2-63xz.tif,0.441,31.278000000000002,3189.0,batch3008,d0,50micron,w2c2-seg1
26,27,MAX_w2-c2-63xz.tif,0.9420000000000001,65.479,6676.0,batch3008,d0,50micron,w2c2-seg1
27,28,MAX_w2-c2-63xz.tif,0.47100000000000003,65.175,6645.0,batch3008,d0,50micron,w2c2-seg1
28,29,MAX_w2-c2-63xz.tif,0.843,103.505,10553.0,batch3008,d0,50micron,w2c2-seg1
29,30,MAX_w2-c2-63xz.tif,0.588,113.676,11590.0,batch3008,d0,50micron,w2c2-seg1
30,31,MAX_w2-c2-63xz.tif,0.353,21.774,2220.0,batch3008,d0,50micron,w2c2-seg1
31,32,MAX_w2-c2-63xz.tif,0.451,64.586,6585.0,batch3008,d0,50micron,w2c2-seg1
0,1,MAX_w2-c2-63xz.tif,0.47100000000000003,50.001999999999995,5098.0,batch3008,d0,50micron,w2c2-seg2
1,2,MAX_w2-c2-63xz.tif,1.285,78.818,8036.0,batch3008,d0,50micron,w2c2-seg2
2,3,MAX_w2-c2-63xz.tif,0.696,84.762,8642.0,batch3008,d0,50micron,w2c2-seg2
3,4,MAX_w2-c2-63xz.tif,0.53,77.38600000000001,7890.0,batch3008,d0,50micron,w2c2-seg2
4,5,MAX_w2-c2-63xz.tif,0.5489999999999999,67.499,6882.0,batch3008,d0,50micron,w2c2-seg2
5,6,MAX_w2-c2-63xz.tif,0.265,29.689,3027.0,batch3008,d0,50micron,w2c2-seg2
6,7,MAX_w2-c2-63xz.tif,0.275,31.504,3212.0,batch3008,d0,50micron,w2c2-seg2
7,8,MAX_w2-c2-63xz.tif,0.726,92.15700000000001,9396.0,batch3008,d0,50micron,w2c2-seg2
8,9,MAX_w2-c2-63xz.tif,0.843,83.545,8518.0,batch3008,d0,50micron,w2c2-seg2
9,10,MAX_w2-c2-63xz.tif,1.02,57.181000000000004,5830.0,batch3008,d0,50micron,w2c2-seg2
10,11,MAX_w2-c2-63xz.tif,0.716,122.189,12458.0,batch3008,d0,50micron,w2c2-seg2
11,12,MAX_w2-c2-63xz.tif,0.667,85.478,8715.0,batch3008,d0,50micron,w2c2-seg2
12,13,MAX_w2-c2-63xz.tif,1.942,242.15200000000002,24689.0,batch3008,d0,50micron,w2c2-seg2
13,14,MAX_w2-c2-63xz.tif,0.873,128.947,13147.0,batch3008,d0,50micron,w2c2-seg2
14,15,MAX_w2-c2-63xz.tif,1.0490000000000002,94.432,9628.0,batch3008,d0,50micron,w2c2-seg2
15,16,MAX_w2-c2-63xz.tif,0.647,111.665,11385.0,batch3008,d0,50micron,w2c2-seg2
16,17,MAX_w2-c2-63xz.tif,1.206,134.685,13732.0,batch3008,d0,50micron,w2c2-seg2
17,18,MAX_w2-c2-63xz.tif,0.922,82.555,8417.0,batch3008,d0,50micron,w2c2-seg2
18,19,MAX_w2-c2-63xz.tif,0.9420000000000001,54.455,5552.0,batch3008,d0,50micron,w2c2-seg2
0,1,MAX_w2-c2-63xz.tif,1.1179999999999999,123.62100000000001,12604.0,batch3008,d0,50micron,w2c2-seg3
1,2,MAX_w2-c2-63xz.tif,0.598,62.703,6393.0,batch3008,d0,50micron,w2c2-seg3
2,3,MAX_w2-c2-63xz.tif,0.8340000000000001,95.619,9749.0,batch3008,d0,50micron,w2c2-seg3
3,4,MAX_w2-c2-63xz.tif,0.608,81.78,8338.0,batch3008,d0,50micron,w2c2-seg3
4,5,MAX_w2-c2-63xz.tif,1.226,187.12900000000002,19079.0,batch3008,d0,50micron,w2c2-seg3
5,6,MAX_w2-c2-63xz.tif,1.3630000000000002,113.75399999999999,11598.0,batch3008,d0,50micron,w2c2-seg3
6,7,MAX_w2-c2-63xz.tif,0.706,112.46,11466.0,batch3008,d0,50micron,w2c2-seg3
7,8,MAX_w2-c2-63xz.tif,0.765,104.956,10701.0,batch3008,d0,50micron,w2c2-seg3
8,9,MAX_w2-c2-63xz.tif,1.157,59.839,6101.0,batch3008,d0,50micron,w2c2-seg3
9,10,MAX_w2-c2-63xz.tif,1.0590000000000002,103.20100000000001,10522.0,batch3008,d0,50micron,w2c2-seg3
10,11,MAX_w2-c2-63xz.tif,1.197,122.17,12456.0,batch3008,d0,50micron,w2c2-seg3
11,12,MAX_w2-c2-63xz.tif,2.4619999999999997,195.632,19946.0,batch3008,d0,50micron,w2c2-seg3
12,13,MAX_w2-c2-63xz.tif,0.657,60.055,6123.0,batch3008,d0,50micron,w2c2-seg3
13,14,MAX_w2-c2-63xz.tif,0.863,95.197,9706.0,batch3008,d0,50micron,w2c2-seg3
14,15,MAX_w2-c2-63xz.tif,1.3630000000000002,166.394,16965.0,batch3008,d0,50micron,w2c2-seg3
15,16,MAX_w2-c2-63xz.tif,1.6480000000000001,89.46,9121.0,batch3008,d0,50micron,w2c2-seg3
16,17,MAX_w2-c2-63xz.tif,0.971,105.61399999999999,10768.0,batch3008,d0,50micron,w2c2-seg3
17,18,MAX_w2-c2-63xz.tif,0.843,99.15,10109.0,batch3008,d0,50micron,w2c2-seg3
0,1,MAX_w2-c3-63xz.tif,0.539,49.266000000000005,5023.0,batch3008,d0,50micron,w2c3-seg1
1,2,MAX_w2-c3-63xz.tif,0.785,111.243,11342.0,batch3008,d0,50micron,w2c3-seg1
2,3,MAX_w2-c3-63xz.tif,1.1179999999999999,100.553,10252.0,batch3008,d0,50micron,w2c3-seg1
3,4,MAX_w2-c3-63xz.tif,1.265,149.60299999999998,15253.0,batch3008,d0,50micron,w2c3-seg1
4,5,MAX_w2-c3-63xz.tif,1.354,201.743,20569.0,batch3008,d0,50micron,w2c3-seg1
5,6,MAX_w2-c3-63xz.tif,1.589,176.497,17995.0,batch3008,d0,50micron,w2c3-seg1
6,7,MAX_w2-c3-63xz.tif,2.099,302.55,30847.0,batch3008,d0,50micron,w2c3-seg1
7,8,MAX_w2-c3-63xz.tif,0.804,98.35600000000001,10028.0,batch3008,d0,50micron,w2c3-seg1
8,9,MAX_w2-c3-63xz.tif,0.52,63.841,6509.0,batch3008,d0,50micron,w2c3-seg1
9,10,MAX_w2-c3-63xz.tif,0.932,98.199,10012.0,batch3008,d0,50micron,w2c3-seg1
10,11,MAX_w2-c3-63xz.tif,0.687,120.081,12243.0,batch3008,d0,50micron,w2c3-seg1
11,12,MAX_w2-c3-63xz.tif,0.716,39.007,3977.0,batch3008,d0,50micron,w2c3-seg1
12,13,MAX_w2-c3-63xz.tif,1.099,134.64600000000002,13728.0,batch3008,d0,50micron,w2c3-seg1
13,14,MAX_w2-c3-63xz.tif,0.324,26.845,2737.0,batch3008,d0,50micron,w2c3-seg1
14,15,MAX_w2-c3-63xz.tif,0.47100000000000003,28.326,2888.0,batch3008,d0,50micron,w2c3-seg1
15,16,MAX_w2-c3-63xz.tif,1.216,75.679,7716.0,batch3008,d0,50micron,w2c3-seg1
16,17,MAX_w2-c3-63xz.tif,0.324,41.537,4235.0,batch3008,d0,50micron,w2c3-seg1
17,18,MAX_w2-c3-63xz.tif,0.353,57.358000000000004,5848.0,batch3008,d0,50micron,w2c3-seg1
18,19,MAX_w2-c3-63xz.tif,0.392,69.53,7089.0,batch3008,d0,50micron,w2c3-seg1
19,20,MAX_w2-c3-63xz.tif,0.883,171.907,17527.0,batch3008,d0,50micron,w2c3-seg1
20,21,MAX_w2-c3-63xz.tif,0.5489999999999999,66.51899999999999,6782.0,batch3008,d0,50micron,w2c3-seg1
21,22,MAX_w2-c3-63xz.tif,1.128,205.176,20919.0,batch3008,d0,50micron,w2c3-seg1
0,1,MAX_w2-c3-63xz.tif,0.9420000000000001,64.998,6627.0,batch3008,d0,50micron,w2c3-seg2
1,2,MAX_w2-c3-63xz.tif,0.667,108.399,11052.0,batch3008,d0,50micron,w2c3-seg2
2,3,MAX_w2-c3-63xz.tif,1.344,181.391,18494.0,batch3008,d0,50micron,w2c3-seg2
3,4,MAX_w2-c3-63xz.tif,0.392,45.568000000000005,4646.0,batch3008,d0,50micron,w2c3-seg2
4,5,MAX_w2-c3-63xz.tif,0.745,63.135,6437.0,batch3008,d0,50micron,w2c3-seg2
5,6,MAX_w2-c3-63xz.tif,0.853,151.064,15402.0,batch3008,d0,50micron,w2c3-seg2
6,7,MAX_w2-c3-63xz.tif,0.5,33.504,3416.0,batch3008,d0,50micron,w2c3-seg2
7,8,MAX_w2-c3-63xz.tif,0.598,104.525,10657.0,batch3008,d0,50micron,w2c3-seg2
8,9,MAX_w2-c3-63xz.tif,0.853,129.232,13176.0,batch3008,d0,50micron,w2c3-seg2
9,10,MAX_w2-c3-63xz.tif,0.48100000000000004,76.248,7774.0,batch3008,d0,50micron,w2c3-seg2
10,11,MAX_w2-c3-63xz.tif,0.43200000000000005,40.096,4088.0,batch3008,d0,50micron,w2c3-seg2
11,12,MAX_w2-c3-63xz.tif,0.843,112.499,11470.0,batch3008,d0,50micron,w2c3-seg2
12,13,MAX_w2-c3-63xz.tif,0.647,74.65899999999999,7612.0,batch3008,d0,50micron,w2c3-seg2
13,14,MAX_w2-c3-63xz.tif,0.5589999999999999,60.948,6214.0,batch3008,d0,50micron,w2c3-seg2
14,15,MAX_w2-c3-63xz.tif,0.34299999999999997,33.289,3394.0,batch3008,d0,50micron,w2c3-seg2
